"Labour force characteristics by census metropolitan area, three-month moving average, seasonally adjusted 1 2 3 4"
"Frequency: Monthly"
"Table: 14-10-0459-01"
"Release date: 2026-03-13"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
""
""

"Labour force characteristics","Unemployment rate 5",,,,,,,,,,,
"Statistics","Estimate",,,,,,,,,,,
"Geography 6 7","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021"
,"Percent",,,,,,,,,,,
"Canada","8.9","8.9","8.5","8.1","8.1","8.1","7.9","7.5","7.2","6.9","6.5","6.2"
"Newfoundland and Labrador","13.0","13.5","13.3","13.6","13.0","13.0","13.1","13.1","13.5","13.6","12.9","12.2"
"St. John's, Newfoundland and Labrador","8.9","9.5","9.5","9.8","8.5","8.7","8.2","7.7","7.5","7.5","7.2","7.0"
"Prince Edward Island","10.0","9.7","9.1","9.5","9.7","10.9","11.3","11.3","11.0","10.7","10.0","9.0"
"Nova Scotia","8.1","8.7","8.9","8.7","9.4","9.2","9.2","8.4","8.1","7.9","8.2","8.0"
"Halifax, Nova Scotia","7.6","8.5","8.6","8.5","8.9","8.6","8.2","7.1","6.7","6.1","6.1","6.0"
"New Brunswick","9.5","9.3","9.3","9.3","9.2","9.4","9.7","9.7","9.6","9.5","9.1","8.4"
"Moncton, New Brunswick","9.0","9.0","9.4","9.0","8.8","8.2","7.2","6.8","6.8","7.4","7.2","6.4"
"Saint John, New Brunswick","11.8","11.7","10.9","10.1","8.8","8.3","8.6","9.3","8.9","8.7","8.6","8.3"
"Fredericton, New Brunswick 8","6.3","6.4","6.4","6.6","6.6","6.5","6.3","6.7","6.6","6.5","5.8","5.1"
"Quebec","7.4","7.2","7.2","6.7","6.7","6.5","6.3","6.0","5.9","5.6","5.2","4.8"
"Saguenay, Quebec","6.3","5.9","5.9","5.9","6.3","6.1","5.4","5.2","5.2","4.9","3.9","3.3"
"Québec, Quebec","4.7","4.8","4.6","4.7","5.2","5.4","4.6","4.3","4.1","3.5","2.8","2.4"
"Sherbrooke, Quebec","6.4","6.2","5.7","5.0","4.6","5.0","5.0","5.1","4.4","4.2","3.6","3.6"
"Trois-Rivières, Quebec","6.6","6.5","6.4","5.0","4.4","4.5","4.6","5.1","5.2","5.0","4.6","4.4"
"Drummondville, Québec 8","9.7","10.8","9.8","7.3","6.1","4.6","5.1","4.9","5.6","4.6","4.1","3.4"
"Montréal, Quebec","8.4","8.2","8.2","7.7","7.6","7.4","7.2","6.8","6.7","6.3","5.9","5.4"
