REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]"
2021,Tipella 7,2021A00055909848,4928,0.0
2021,Yekwaupsum 18,2021A00055931809,5210,0.02
2021,Babine Lake 21B,2021A00055951847,4600,0.02
2021,Seton Lake 5,2021A00055931824,5199,0.02
2021,A Kwis Ki Mahka,2021A00054623023,3139,0.02
2021,O-Pipon-Na-Piwin Cree Nation 1,2021A00054623040,3151,0.02
2021,Portier Pass 5,2021A00055919817,4841,0.02
2021,Nekalliston 2,2021A00055933886,5297,0.02
2021,Boothroyd 8A,2021A00055933897,5261,0.03
2021,Windy Mouth 7,2021A00055941855,4746,0.03
2021,Louis Creek 4,2021A00055933888,5288,0.03
2021,Coquitlam 1,2021A00055915805,4958,0.03
2021,Unnamed 10,2021A00055957802,5218,0.03
2021,Kinoosao-Thomas Clark 204,2021A00054718854,4091,0.03
2021,Nimpkish 2,2021A00055943835,5051,0.03
2021,Seaichem 16,2021A00055931806,5198,0.03
2021,Four Portages 157C,2021A00054718813,4086,0.03
2021,Hopetown 10A,2021A00055943809,5045,0.03
2021,Notre-Dame-des-Anges,2021A00052423015,2103,0.04
2021,Michel Gardens 36,2021A00055941879,4722,0.04
2021,Shawniken 4B,2021A00055933895,5319,0.04
2021,Rocky Point 3,2021A00051102030,477,0.04
2021,Waywayseecappo Highway 10,2021A00054607072,2968,0.04
2021,Keeseekoose 66A,2021A00054709822,3597,0.04
2021,Fort Rupert 1,2021A00055943804,5042,0.05
2021,Castle Island,2021A00054813009,4425,0.05
2021,Mooseocoot 4,2021A00054622066,3126,0.05
2021,Medway River 11,2021A00051204001,578,0.06
2021,Mooseocoot,2021A00054622802,3125,0.06
2021,Sachsa 4,2021A00055923814,4591,0.07
2021,Christian Island 30A,2021A00053543070,2757,0.07
2021,Tzart-Lam 5,2021A00055919821,4846,0.07
2021,Kulspai 6,2021A00055949807,5015,0.07
2021,Alexander 134B,2021A00054813829,4415,0.08
2021,Kahntah 3,2021A00055959809,5095,0.08
2021,Yale Town 1,2021A00055909818,4934,0.1
2021,Clakamucus 2,2021A00055923804,4579,0.1
2021,Esowista 3,2021A00055923823,4581,0.1
