DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,  0 to 14 years,  15 to 64 years,  65 years and over
2021A00051001485,Census subdivision,2021,Conception Bay South,4450,17810,4490
2021A00051001517,Census subdivision,2021,Paradise,4510,16010,2280
2021A00051001519,Census subdivision,2021,St. John's,14635,72935,20085
2021A00051001542,Census subdivision,2021,Mount Pearl,2760,14785,4810
2021A00051005018,Census subdivision,2021,Corner Brook,2275,11675,4645
2021A00051006009,Census subdivision,2021,Gander,1815,7555,2170
2021A00051006017,Census subdivision,2021,Grand Falls-Windsor,1925,8425,3245
2021A00051102075,Census subdivision,2021,Charlottetown,5135,25175,7290
2021A00051102080,Census subdivision,2021,Stratford,2110,6795,1945
2021A00051103025,Census subdivision,2021,Summerside,2285,9695,3565
2021A00051202004,Census subdivision,2021,Yarmouth,1360,6095,2490
2021A00051204010,Census subdivision,2021,Queens,1120,5980,3165
2021A00051206001,Census subdivision,2021,Lunenburg,3095,15095,7200
2021A00051206009,Census subdivision,2021,Chester,1235,6155,3175
2021A00051207001,Census subdivision,2021,"Kings, Subd. A",3675,13600,4745
2021A00051207016,Census subdivision,2021,"Kings, Subd. B",1780,7510,2625
2021A00051208003,Census subdivision,2021,West Hants,2835,11805,4480
2021A00051208008,Census subdivision,2021,East Hants,3710,14945,4195
2021A00051209034,Census subdivision,2021,Halifax,64935,297045,73310
2021A00051210001,Census subdivision,2021,"Colchester, Subd. C",1920,7850,2655
2021A00051210006,Census subdivision,2021,Truro,1645,7710,3060
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",2880,12020,4720
2021A00051217030,Census subdivision,2021,Cape Breton,11760,56465,23795
2021A00051301006,Census subdivision,2021,Saint John,10150,44620,13410
2021A00051305045,Census subdivision,2021,Rothesay,1875,7515,2525
2021A00051305057,Census subdivision,2021,Quispamsis,3425,11890,3165
2021A00051306020,Census subdivision,2021,Riverview,3120,12905,4270
2021A00051307019,Census subdivision,2021,Moncton,1785,6900,1945
2021A00051307022,Census subdivision,2021,Moncton,11885,51425,14090
2021A00051307045,Census subdivision,2021,Dieppe,4700,18515,4455
2021A00051309050,Census subdivision,2021,Miramichi,2360,10250,4585
2021A00051310032,Census subdivision,2021,Fredericton,9105,41085,11645
2021A00051313027,Census subdivision,2021,Edmundston,1855,9175,4225
2021A00051315002,Census subdivision,2021,Tracadie,1760,9955,3930
2021A00051315011,Census subdivision,2021,Bathurst,1315,6905,3400
2021A00052401023,Census subdivision,2021,Les Îles-de-la-Madeleine,1360,7255,3305
