DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,TOTAL_GENDER (1),CHARACTERISTIC_NAME,AGE
2021A00051001485,Census subdivision,2021,Conception Bay South,4450,  0 to 14 years,Total - Age
2021A00051001485,Census subdivision,2021,Conception Bay South,17810,  15 to 64 years,Total - Age
2021A00051001485,Census subdivision,2021,Conception Bay South,4490,  65 years and over,Total - Age
2021A00051001517,Census subdivision,2021,Paradise,4510,  0 to 14 years,Total - Age
2021A00051001517,Census subdivision,2021,Paradise,16010,  15 to 64 years,Total - Age
2021A00051001517,Census subdivision,2021,Paradise,2280,  65 years and over,Total - Age
2021A00051001519,Census subdivision,2021,St. John's,14635,  0 to 14 years,Total - Age
2021A00051001519,Census subdivision,2021,St. John's,72935,  15 to 64 years,Total - Age
2021A00051001519,Census subdivision,2021,St. John's,20085,  65 years and over,Total - Age
2021A00051001542,Census subdivision,2021,Mount Pearl,2760,  0 to 14 years,Total - Age
2021A00051001542,Census subdivision,2021,Mount Pearl,14785,  15 to 64 years,Total - Age
2021A00051001542,Census subdivision,2021,Mount Pearl,4810,  65 years and over,Total - Age
2021A00051005018,Census subdivision,2021,Corner Brook,2275,  0 to 14 years,Total - Age
2021A00051005018,Census subdivision,2021,Corner Brook,11675,  15 to 64 years,Total - Age
2021A00051005018,Census subdivision,2021,Corner Brook,4645,  65 years and over,Total - Age
2021A00051006009,Census subdivision,2021,Gander,1815,  0 to 14 years,Total - Age
2021A00051006009,Census subdivision,2021,Gander,7555,  15 to 64 years,Total - Age
2021A00051006009,Census subdivision,2021,Gander,2170,  65 years and over,Total - Age
2021A00051006017,Census subdivision,2021,Grand Falls-Windsor,1925,  0 to 14 years,Total - Age
2021A00051006017,Census subdivision,2021,Grand Falls-Windsor,8425,  15 to 64 years,Total - Age
2021A00051006017,Census subdivision,2021,Grand Falls-Windsor,3245,  65 years and over,Total - Age
2021C30051099999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Newfoundland and Labrador",35770,  0 to 14 years,Total - Age
2021C30051099999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Newfoundland and Labrador",170020,  15 to 64 years,Total - Age
2021C30051099999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Newfoundland and Labrador",73015,  65 years and over,Total - Age
2021A00051102075,Census subdivision,2021,Charlottetown,5135,  0 to 14 years,Total - Age
2021A00051102075,Census subdivision,2021,Charlottetown,25175,  15 to 64 years,Total - Age
2021A00051102075,Census subdivision,2021,Charlottetown,7290,  65 years and over,Total - Age
2021A00051102080,Census subdivision,2021,Stratford,2110,  0 to 14 years,Total - Age
2021A00051102080,Census subdivision,2021,Stratford,6795,  15 to 64 years,Total - Age
2021A00051102080,Census subdivision,2021,Stratford,1945,  65 years and over,Total - Age
2021A00051103025,Census subdivision,2021,Summerside,2285,  0 to 14 years,Total - Age
2021A00051103025,Census subdivision,2021,Summerside,9695,  15 to 64 years,Total - Age
2021A00051103025,Census subdivision,2021,Summerside,3565,  65 years and over,Total - Age
2021C30051199999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Prince Edward Island",14055,  0 to 14 years,Total - Age
2021C30051199999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Prince Edward Island",54440,  15 to 64 years,Total - Age
2021C30051199999,"Provincial/territorial combined CSDs with 2021 population under 10,000",2021,"Combined census subdivisions with 2021 population under 10,000, Prince Edward Island",17995,  65 years and over,Total - Age
2021A00051202004,Census subdivision,2021,Yarmouth,1360,  0 to 14 years,Total - Age
2021A00051202004,Census subdivision,2021,Yarmouth,6095,  15 to 64 years,Total - Age
2021A00051202004,Census subdivision,2021,Yarmouth,2490,  65 years and over,Total - Age
2021A00051204010,Census subdivision,2021,Queens,1120,  0 to 14 years,Total - Age
2021A00051204010,Census subdivision,2021,Queens,5980,  15 to 64 years,Total - Age
2021A00051204010,Census subdivision,2021,Queens,3165,  65 years and over,Total - Age
2021A00051206001,Census subdivision,2021,Lunenburg,3095,  0 to 14 years,Total - Age
2021A00051206001,Census subdivision,2021,Lunenburg,15095,  15 to 64 years,Total - Age
2021A00051206001,Census subdivision,2021,Lunenburg,7200,  65 years and over,Total - Age
2021A00051206009,Census subdivision,2021,Chester,1235,  0 to 14 years,Total - Age
2021A00051206009,Census subdivision,2021,Chester,6155,  15 to 64 years,Total - Age
2021A00051206009,Census subdivision,2021,Chester,3175,  65 years and over,Total - Age
2021A00051207001,Census subdivision,2021,"Kings, Subd. A",3675,  0 to 14 years,Total - Age
2021A00051207001,Census subdivision,2021,"Kings, Subd. A",13600,  15 to 64 years,Total - Age
2021A00051207001,Census subdivision,2021,"Kings, Subd. A",4745,  65 years and over,Total - Age
2021A00051207016,Census subdivision,2021,"Kings, Subd. B",1780,  0 to 14 years,Total - Age
2021A00051207016,Census subdivision,2021,"Kings, Subd. B",7510,  15 to 64 years,Total - Age
2021A00051207016,Census subdivision,2021,"Kings, Subd. B",2625,  65 years and over,Total - Age
2021A00051208003,Census subdivision,2021,West Hants,2835,  0 to 14 years,Total - Age
2021A00051208003,Census subdivision,2021,West Hants,11805,  15 to 64 years,Total - Age
2021A00051208003,Census subdivision,2021,West Hants,4480,  65 years and over,Total - Age
2021A00051208008,Census subdivision,2021,East Hants,3710,  0 to 14 years,Total - Age
2021A00051208008,Census subdivision,2021,East Hants,14945,  15 to 64 years,Total - Age
2021A00051208008,Census subdivision,2021,East Hants,4195,  65 years and over,Total - Age
2021A00051209034,Census subdivision,2021,Halifax,64935,  0 to 14 years,Total - Age
2021A00051209034,Census subdivision,2021,Halifax,297045,  15 to 64 years,Total - Age
2021A00051209034,Census subdivision,2021,Halifax,73310,  65 years and over,Total - Age
2021A00051210001,Census subdivision,2021,"Colchester, Subd. C",1920,  0 to 14 years,Total - Age
2021A00051210001,Census subdivision,2021,"Colchester, Subd. C",7850,  15 to 64 years,Total - Age
2021A00051210001,Census subdivision,2021,"Colchester, Subd. C",2655,  65 years and over,Total - Age
2021A00051210006,Census subdivision,2021,Truro,1645,  0 to 14 years,Total - Age
2021A00051210006,Census subdivision,2021,Truro,7710,  15 to 64 years,Total - Age
2021A00051210006,Census subdivision,2021,Truro,3060,  65 years and over,Total - Age
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",2880,  0 to 14 years,Total - Age
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",12020,  15 to 64 years,Total - Age
2021A00051210008,Census subdivision,2021,"Colchester, Subd. B",4720,  65 years and over,Total - Age
2021A00051217030,Census subdivision,2021,Cape Breton,11760,  0 to 14 years,Total - Age
2021A00051217030,Census subdivision,2021,Cape Breton,56465,  15 to 64 years,Total - Age
