DGUID,GEO,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021"
2021A000011124,Canada,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0
2021A00051001101,"Division No.  1, Subd. V",870.89,4482.0,0.1,52.8,36.0,55.0,52.6,19.0,29.0,346.0,-48.6,140.0,72.0
2021A00051001105,Portugal Cove South,1.08,4321.0,79.9,-42.7,150.0,86.0,-31.9,69.0,47.0,332.0,-6.6,91.0,85.0
2021A00051001113,Trepassey,54.21,3162.0,7.5,-15.8,481.0,405.0,-8.6,245.0,224.0,181.0,-16.0,356.0,299.0
2021A00051001120,St. Shott's,1.07,4482.0,51.3,-16.7,66.0,55.0,-10.5,38.0,34.0,346.0,-3.8,52.0,50.0
2021A00051001124,"Division No.  1, Subd. U",742.38,1762.0,1.8,-15.5,1625.0,1373.0,-9.9,697.0,628.0,62.0,-19.0,1630.0,1320.0
2021A00051001126,Cape Broyle,10.09,2944.0,49.5,2.0,489.0,499.0,8.1,211.0,228.0,160.0,7.9,291.0,314.0
2021A00051001131,Renews-Cappahayden,125.93,3581.0,2.2,-7.0,301.0,280.0,-3.4,148.0,143.0,229.0,-25.1,346.0,259.0
2021A00051001136,Fermeuse,38.33,3624.0,6.9,-18.2,325.0,266.0,-6.0,134.0,126.0,234.0,-3.9,178.0,171.0
2021A00051001140,Port Kirwan,8.84,4516.0,5.5,-5.8,52.0,49.0,11.1,27.0,30.0,353.0,-17.2,64.0,53.0
2021A00051001144,Aquaforte,6.88,4387.0,10.7,-7.5,80.0,74.0,4.9,41.0,43.0,339.0,-11.3,71.0,63.0
2021A00051001149,Ferryland,13.22,3277.0,28.1,-10.4,414.0,371.0,0.5,190.0,191.0,193.0,-0.8,254.0,252.0
2021A00051001155,"Division No.  1, Subd. W",821.97,3011.0,0.6,7.8,435.0,469.0,13.6,214.0,243.0,164.0,-10.2,893.0,802.0
2021A00051001169,St. Vincent's-St. Stephen's-Peter's River,86.62,3634.0,3.0,-16.0,313.0,263.0,-9.0,156.0,142.0,236.0,-6.3,221.0,207.0
2021A00051001174,Gaskiers-Point La Haye,23.29,3892.0,8.1,-18.5,232.0,189.0,-11.9,118.0,104.0,267.0,-11.7,145.0,128.0
2021A00051001178,St. Mary's,36.41,3465.0,8.6,-9.8,347.0,313.0,-7.1,170.0,158.0,215.0,-6.5,216.0,202.0
2021A00051001181,Riverhead,101.84,3991.0,1.6,-10.8,185.0,165.0,4.8,83.0,87.0,287.0,-16.3,153.0,128.0
2021A00051001186,Admirals Beach,24.2,4267.0,4.0,-28.1,135.0,97.0,-22.6,62.0,48.0,325.0,-5.0,80.0,76.0
2021A00051001192,St. Joseph's,29.22,4321.0,2.9,-25.2,115.0,86.0,-22.4,58.0,45.0,332.0,-30.7,114.0,79.0
2021A00051001197,Mount Carmel-Mitchells Brook-St. Catherine's,60.76,3237.0,6.3,9.5,349.0,382.0,24.5,163.0,203.0,190.0,27.5,302.0,385.0
2021A00051001203,"Division No.  1, Subd. X",567.62,2842.0,1.0,5.5,513.0,541.0,10.6,235.0,260.0,146.0,-2.1,754.0,738.0
2021A00051001207,Colinet,6.01,4239.0,17.1,28.8,80.0,103.0,38.5,39.0,54.0,317.0,11.0,73.0,81.0
2021A00051001214,"Division No.  1, Subd. C",815.64,4228.0,0.1,6.0,100.0,106.0,13.5,52.0,59.0,316.0,0.0,140.0,140.0
2021A00051001219,Branch,16.18,3944.0,10.9,-22.4,228.0,177.0,-11.1,108.0,96.0,278.0,-18.4,174.0,142.0
2021A00051001225,Point Lance,28.29,4317.0,3.1,-14.7,102.0,87.0,-4.8,42.0,40.0,330.0,0.0,48.0,48.0
