REF_DATE,GEO,DGUID,Age,Gender,Statistics,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
2021,Canada,2021A000011124,Total - Age,Total - Gender,2021 Counts,36328475.0,27042120.0,8361505.0,1328240.0,924845.0
2021,Canada,2021A000011124,Total - Age,Men+,2021 Counts,17937165.0,13461515.0,3976160.0,644900.0,499490.0
2021,Canada,2021A000011124,Total - Age,Women+,2021 Counts,18391315.0,13580610.0,4385345.0,683340.0,425360.0
2021,Canada,2021A000011124,0 to 14 years,Total - Gender,2021 Counts,5992560.0,5523430.0,381410.0,226715.0,87720.0
2021,Canada,2021A000011124,0 to 14 years,Men+,2021 Counts,3075920.0,2833735.0,196695.0,117170.0,45495.0
2021,Canada,2021A000011124,0 to 14 years,Women+,2021 Counts,2916640.0,2689695.0,184715.0,109545.0,42225.0
2021,Canada,2021A000011124,15 years and over,Total - Gender,2021 Counts,30335920.0,21518690.0,7980095.0,1101520.0,837130.0
2021,Canada,2021A000011124,15 years and over,Men+,2021 Counts,14861245.0,10627780.0,3779470.0,527730.0,454000.0
2021,Canada,2021A000011124,15 years and over,Women+,2021 Counts,15474675.0,10890915.0,4200630.0,573795.0,383135.0
2021,Canada,2021A000011124,15 to 24 years,Total - Gender,2021 Counts,4181055.0,3320025.0,585185.0,144945.0,275850.0
2021,Canada,2021A000011124,15 to 24 years,Men+,2021 Counts,2161145.0,1708025.0,300640.0,73105.0,152475.0
2021,Canada,2021A000011124,15 to 24 years,Women+,2021 Counts,2019910.0,1612000.0,284540.0,71845.0,123375.0
2021,Canada,2021A000011124,15 to 19 years,Total - Gender,2021 Counts,2003200.0,1690055.0,258740.0,71570.0,54405.0
2021,Canada,2021A000011124,15 to 19 years,Men+,2021 Counts,1036235.0,873670.0,134225.0,37460.0,28345.0
2021,Canada,2021A000011124,15 to 19 years,Women+,2021 Counts,966960.0,816380.0,124520.0,34115.0,26060.0
2021,Canada,2021A000011124,20 to 24 years,Total - Gender,2021 Counts,2177860.0,1629970.0,326440.0,73380.0,221445.0
2021,Canada,2021A000011124,20 to 24 years,Men+,2021 Counts,1124910.0,834355.0,166420.0,35640.0,124135.0
2021,Canada,2021A000011124,20 to 24 years,Women+,2021 Counts,1052945.0,795615.0,160025.0,37735.0,97315.0
2021,Canada,2021A000011124,25 to 64 years,Total - Gender,2021 Counts,19568260.0,13592395.0,5423900.0,901075.0,551960.0
2021,Canada,2021A000011124,25 to 64 years,Men+,2021 Counts,9620335.0,6759770.0,2563290.0,430995.0,297275.0
2021,Canada,2021A000011124,25 to 64 years,Women+,2021 Counts,9947925.0,6832620.0,2860610.0,470080.0,254690.0
2021,Canada,2021A000011124,25 to 54 years,Total - Gender,2021 Counts,14405900.0,9800980.0,4068720.0,852775.0,536195.0
2021,Canada,2021A000011124,25 to 54 years,Men+,2021 Counts,7101745.0,4902405.0,1910750.0,409505.0,288595.0
2021,Canada,2021A000011124,25 to 54 years,Women+,2021 Counts,7304150.0,4898575.0,2157975.0,443275.0,247600.0
2021,Canada,2021A000011124,25 to 34 years,Total - Gender,2021 Counts,4898625.0,3461970.0,1102280.0,422480.0,334370.0
2021,Canada,2021A000011124,25 to 34 years,Men+,2021 Counts,2453265.0,1749875.0,522440.0,191830.0,180955.0
2021,Canada,2021A000011124,25 to 34 years,Women+,2021 Counts,2445360.0,1712095.0,579845.0,230650.0,153415.0
2021,Canada,2021A000011124,35 to 44 years,Total - Gender,2021 Counts,4872420.0,3239630.0,1487585.0,319490.0,145205.0
2021,Canada,2021A000011124,35 to 44 years,Men+,2021 Counts,2384020.0,1616435.0,690820.0,161260.0,76765.0
2021,Canada,2021A000011124,35 to 44 years,Women+,2021 Counts,2488405.0,1623200.0,796770.0,158235.0,68440.0
2021,Canada,2021A000011124,45 to 54 years,Total - Gender,2021 Counts,4634845.0,3099375.0,1478850.0,110805.0,56625.0
2021,Canada,2021A000011124,45 to 54 years,Men+,2021 Counts,2264460.0,1536100.0,697485.0,56415.0,30880.0
2021,Canada,2021A000011124,45 to 54 years,Women+,2021 Counts,2370385.0,1563280.0,781365.0,54390.0,25745.0
2021,Canada,2021A000011124,55 to 64 years,Total - Gender,2021 Counts,5162365.0,3791420.0,1355185.0,48300.0,15765.0
2021,Canada,2021A000011124,55 to 64 years,Men+,2021 Counts,2518590.0,1857370.0,652540.0,21485.0,8680.0
2021,Canada,2021A000011124,55 to 64 years,Women+,2021 Counts,2643770.0,1934050.0,702640.0,26810.0,7090.0
2021,Canada,2021A000011124,65 years and over,Total - Gender,2021 Counts,6586600.0,4606270.0,1971015.0,55500.0,9315.0
2021,Canada,2021A000011124,65 years and over,Men+,2021 Counts,3079765.0,2159975.0,915540.0,23635.0,4250.0
2021,Canada,2021A000011124,65 years and over,Women+,2021 Counts,3506835.0,2446290.0,1055475.0,31865.0,5070.0
2021,Canada,2021A000011124,65 to 74 years,Total - Gender,2021 Counts,3991130.0,2884625.0,1099930.0,38885.0,6575.0
2021,Canada,2021A000011124,65 to 74 years,Men+,2021 Counts,1910780.0,1388360.0,519405.0,16440.0,3015.0
2021,Canada,2021A000011124,65 to 74 years,Women+,2021 Counts,2080350.0,1496265.0,580525.0,22445.0,3565.0
2021,Canada,2021A000011124,75 years and over,Total - Gender,2021 Counts,2595470.0,1721645.0,871080.0,16620.0,2740.0
2021,Canada,2021A000011124,75 years and over,Men+,2021 Counts,1168980.0,771620.0,396130.0,7195.0,1230.0
2021,Canada,2021A000011124,75 years and over,Women+,2021 Counts,1426485.0,950030.0,474950.0,9420.0,1510.0
2021,Newfoundland and Labrador,2021A000210,Total - Age,Total - Gender,2021 Counts,502100.0,482615.0,14255.0,4270.0,5235.0
2021,Newfoundland and Labrador,2021A000210,Total - Age,Men+,2021 Counts,246190.0,236005.0,7240.0,2100.0,2950.0
2021,Newfoundland and Labrador,2021A000210,Total - Age,Women+,2021 Counts,255910.0,246610.0,7010.0,2170.0,2285.0
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Total - Gender,2021 Counts,68140.0,66495.0,1280.0,895.0,370.0
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Men+,2021 Counts,35010.0,34160.0,665.0,450.0,190.0
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Women+,2021 Counts,33135.0,32335.0,615.0,445.0,185.0
2021,Newfoundland and Labrador,2021A000210,15 years and over,Total - Gender,2021 Counts,433955.0,416115.0,12970.0,3375.0,4865.0
2021,Newfoundland and Labrador,2021A000210,15 years and over,Men+,2021 Counts,211180.0,201840.0,6575.0,1650.0,2765.0
2021,Newfoundland and Labrador,2021A000210,15 years and over,Women+,2021 Counts,222780.0,214280.0,6400.0,1725.0,2100.0
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Total - Gender,2021 Counts,51430.0,48145.0,1265.0,550.0,2015.0
