GEO,DGUID,Age,Gender,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
Canada,2021A000011124,Total - Age,Total - Gender,36328475.0,27042120.0,8361505.0,1328240.0,924845.0
Newfoundland and Labrador,2021A000210,Total - Age,Total - Gender,502100.0,482615.0,14255.0,4270.0,5235.0
"Corner Brook (CA), N.L.",2021S0504015,Total - Age,Total - Gender,28975.0,28155.0,660.0,170.0,160.0
"Gander (CA), N.L.",2021S0504011,Total - Age,Total - Gender,13080.0,12695.0,300.0,130.0,80.0
"Grand Falls-Windsor (CA), N.L.",2021S0504010,Total - Age,Total - Gender,13600.0,13250.0,260.0,40.0,95.0
"St. John's (CMA), N.L.",2021S0503001,Total - Age,Total - Gender,208815.0,194935.0,9510.0,3085.0,4375.0
Prince Edward Island,2021A000211,Total - Age,Total - Gender,150480.0,133285.0,11765.0,4860.0,5430.0
"Charlottetown (CA), P.E.I.",2021S0504105,Total - Age,Total - Gender,77380.0,64980.0,8385.0,3860.0,4020.0
"Summerside (CA), P.E.I.",2021S0504110,Total - Age,Total - Gender,17670.0,15965.0,1075.0,420.0,635.0
Nova Scotia,2021A000212,Total - Age,Total - Gender,955860.0,861945.0,71565.0,21385.0,22345.0
"Cape Breton (CA), N.S.",2021S0504225,Total - Age,Total - Gender,96640.0,92120.0,2185.0,405.0,2335.0
"Halifax (CMA), N.S.",2021S0503205,Total - Age,Total - Gender,461140.0,392615.0,51485.0,18135.0,17040.0
"Kentville (CA), N.S.",2021S0504210,Total - Age,Total - Gender,26600.0,24825.0,1400.0,320.0,375.0
"New Glasgow (CA), N.S.",2021S0504220,Total - Age,Total - Gender,33780.0,32640.0,980.0,245.0,155.0
"Truro (CA), N.S.",2021S0504215,Total - Age,Total - Gender,45325.0,42640.0,2090.0,465.0,590.0
New Brunswick,2021A000213,Total - Age,Total - Gender,759195.0,704220.0,44125.0,16040.0,10860.0
