Locality,Province,Average Unmployment Rate (2021),DGUID,REF_DATE,Geography,English and French,English only,French only,Neither English nor French,Total - Knowledge of official languages,GEO,Coordinate,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",GEO_LEVEL,CENSUS_YEAR,GEO_NAME,0 to 14 years,15 to 64 years,65 years and over,"Land area in square kilometres, 2021","National population rank, 2021","Population density per square kilometre, 2021","Population percentage change, 2016 to 2021","Population, 2016","Population, 2021","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2021","Province/territory population rank, 2021","Total private dwellings percentage change, 2016 to 2021","Total private dwellings, 2016","Total private dwellings, 2021",Age,Gender,Statistics,Total - Minority,Total Minority Population,South Asian,Chinese,Black,Filipino,Arab,Latin American,Southeast Asian,West Asian,Korean,Japanese,"Minority, n.i.e",Multiple Minorities,Not Minority,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,36328475.0,27042120.0,8361505.0,1328240.0,924845.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,17937165.0,13461515.0,3976160.0,644900.0,499490.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,18391315.0,13580610.0,4385345.0,683340.0,425360.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,5992560.0,5523430.0,381410.0,226715.0,87720.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,3075920.0,2833735.0,196695.0,117170.0,45495.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,2916640.0,2689695.0,184715.0,109545.0,42225.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,30335920.0,21518690.0,7980095.0,1101520.0,837130.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,14861245.0,10627780.0,3779470.0,527730.0,454000.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,15474675.0,10890915.0,4200630.0,573795.0,383135.0
Canada,Canada,7.73,2021A000011124,2021.0,Canada,6581680.0,25261655.0,4087895.0,689730.0,36620955.0,Canada,1.0,8788702.8,,,,,,,8788702.8,,4.2,5.2,35151728.0,36991981.0,6.4,14072079.0,14978941.0,,5.7,15412443.0,16284235.0,Total - Age,Total - Gender,% distribution (2021),100.0,26.5,7.1,4.7,4.3,2.6,1.9,1.6,1.1,1.0,0.6,0.3,0.5,0.9,73.5,4181055.0,3320025.0,585185.0,144945.0,275850.0
